"","x"
"1",1
"2",1
"3",0
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",0
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",0
"37",0
"38",1
"39",1
"40",0
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",1
"83",1
"84",1
"85",1
"86",1
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",1
"102",0
"103",1
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",1
"122",1
"123",1
"124",1
"125",0
"126",0
"127",0
"128",0
"129",0
"130",1
"131",0
"132",1
"133",0
"134",0
"135",0
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",0
"144",1
"145",1
"146",1
"147",1
"148",1
"149",0
"150",0
"151",0
"152",1
"153",0
"154",0
"155",0
"156",0
"157",0
"158",1
"159",0
"160",1
"161",1
"162",0
"163",1
"164",1
"165",1
"166",1
"167",1
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",1
"179",0
"180",0
"181",1
"182",1
"183",1
"184",0
"185",1
"186",0
"187",1
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",1
"196",0
"197",0
"198",0
"199",1
"200",1
"201",1
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",1
"216",1
"217",1
"218",1
"219",1
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",1
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",1
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",1
"265",1
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",1
"273",0
"274",0
"275",0
"276",0
"277",1
"278",0
"279",0
"280",1
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",1
"292",1
"293",1
"294",1
"295",1
"296",1
"297",1
"298",1
"299",1
"300",1
"301",1
"302",1
"303",1
"304",1
"305",1
"306",1
"307",1
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",1
"320",1
"321",1
"322",1
"323",1
"324",1
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",1
"332",1
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",1
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",1
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",1
"389",1
"390",0
"391",1
"392",0
"393",1
"394",1
"395",1
"396",1
"397",1
"398",0
"399",0
"400",0
"401",0
"402",1
"403",1
"404",1
"405",1
"406",1
"407",1
"408",1
"409",1
"410",0
"411",1
"412",1
"413",1
"414",1
"415",1
"416",1
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",1
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0
"439",1
"440",0
"441",0
"442",1
"443",0
"444",0
"445",1
"446",1
"447",1
"448",1
"449",1
"450",0
"451",0
"452",1
"453",1
"454",0
"455",1
"456",1
"457",1
"458",1
"459",1
"460",1
"461",1
"462",1
"463",1
"464",1
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",1
"473",1
"474",1
"475",1
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
